TRAT,ABUND,RIQ,SHAN
MANJ,4.5,11,2.207
MANJ,5,14,2.448
MANJ,7.666666667,17,2.448
MANJ,6.166666667,15,2.251
MANJ,4.666666667,11,1.993
MANJ,7.5,14,2.115
MANJ,6.333333333,15,2.385
MANJ,4.5,13,2.313
MANJ,3.333333333,10,2.047
MANJ,3,10,2.124
MANJ,5.166666667,13,2.27
MANJ,5.257575758,13,2.859
5m,4.666666667,9,2.043
5m,6.666666667,5,1.288
5m,4.333333333,7,1.73
5m,22.66666667,5,0.5088
5m,4,4,1.331
5m,28,8,0.7955
5m,4,5,1.357
5m,13,9,1.675
10m,1.333333333,4,1.386
10m,21,5,0.7042
10m,4.666666667,6,1.467
10m,27.66666667,7,0.4754
10m,2.666666667,4,1.32
10m,19.66666667,7,1.202
10m,3.333333333,5,1.557
10m,8.666666667,8,1.709
15m,5.666666667,7,1.71
15m,7.333333333,3,0.8184
15m,3,5,1.462
15m,18.33333333,5,0.6072
15m,5,7,1.707
15m,10.66666667,8,1.398
15m,3.666666667,5,1.546
15m,14,8,1.492
20m,2.333333333,6,1.746
20m,20.66666667,6,0.8188
20m,1.333333333,4,1.386
20m,18.66666667,7,0.9091
20m,4.333333333,6,1.583
20m,17,6,0.896
20m,3,3,0.9957
20m,28,8,0.842
